,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Concepte,Rang_soroll,Valor,Lloguer_mitja_mensual,Lloguer_mitja_m2
118,3,Sants-Montjuïc,12,la Marina del Prat Vermell,TOTAL_D,75-80 dB,0.0,760.35,12.57
119,3,Sants-Montjuïc,12,la Marina del Prat Vermell,TOTAL_D,>=80 dB,0.0,760.35,12.57
120,3,Sants-Montjuïc,13,la Marina de Port,TOTAL_D,<40 dB,2.44,690.86,10.34
121,3,Sants-Montjuïc,13,la Marina de Port,TOTAL_D,40-45 dB,5.94,690.86,10.34
122,3,Sants-Montjuïc,13,la Marina de Port,TOTAL_D,45-50 dB,13.57,690.86,10.34
123,3,Sants-Montjuïc,13,la Marina de Port,TOTAL_D,50-55 dB,26.69,690.86,10.34
124,3,Sants-Montjuïc,13,la Marina de Port,TOTAL_D,55-60 dB,15.32,690.86,10.34
125,3,Sants-Montjuïc,13,la Marina de Port,TOTAL_D,60-65 dB,21.41,690.86,10.34
126,3,Sants-Montjuïc,13,la Marina de Port,TOTAL_D,65-70 dB,13.03,690.86,10.34
127,3,Sants-Montjuïc,13,la Marina de Port,TOTAL_D,70-75 dB,1.6,690.86,10.34
128,3,Sants-Montjuïc,13,la Marina de Port,TOTAL_D,75-80 dB,0.0,690.86,10.34
129,3,Sants-Montjuïc,13,la Marina de Port,TOTAL_D,>=80 dB,0.0,690.86,10.34
130,3,Sants-Montjuïc,14,la Font de la Guatlla,TOTAL_D,<40 dB,0.02,809.09,12.95
131,3,Sants-Montjuïc,14,la Font de la Guatlla,TOTAL_D,40-45 dB,9.94,809.09,12.95
132,3,Sants-Montjuïc,14,la Font de la Guatlla,TOTAL_D,45-50 dB,31.58,809.09,12.95
133,3,Sants-Montjuïc,14,la Font de la Guatlla,TOTAL_D,50-55 dB,6.5,809.09,12.95
134,3,Sants-Montjuïc,14,la Font de la Guatlla,TOTAL_D,55-60 dB,6.96,809.09,12.95
135,3,Sants-Montjuïc,14,la Font de la Guatlla,TOTAL_D,60-65 dB,15.12,809.09,12.95
136,3,Sants-Montjuïc,14,la Font de la Guatlla,TOTAL_D,65-70 dB,16.01,809.09,12.95
137,3,Sants-Montjuïc,14,la Font de la Guatlla,TOTAL_D,70-75 dB,13.87,809.09,12.95
138,3,Sants-Montjuïc,14,la Font de la Guatlla,TOTAL_D,75-80 dB,0.0,809.09,12.95
139,3,Sants-Montjuïc,14,la Font de la Guatlla,TOTAL_D,>=80 dB,0.0,809.09,12.95
140,3,Sants-Montjuïc,15,Hostafrancs,TOTAL_D,<40 dB,0.45,744.8,12.86
141,3,Sants-Montjuïc,15,Hostafrancs,TOTAL_D,40-45 dB,16.47,744.8,12.86
142,3,Sants-Montjuïc,15,Hostafrancs,TOTAL_D,45-50 dB,19.66,744.8,12.86
143,3,Sants-Montjuïc,15,Hostafrancs,TOTAL_D,50-55 dB,6.4,744.8,12.86
144,3,Sants-Montjuïc,15,Hostafrancs,TOTAL_D,55-60 dB,15.78,744.8,12.86
145,3,Sants-Montjuïc,15,Hostafrancs,TOTAL_D,60-65 dB,18.7,744.8,12.86
146,3,Sants-Montjuïc,15,Hostafrancs,TOTAL_D,65-70 dB,11.02,744.8,12.86
147,3,Sants-Montjuïc,15,Hostafrancs,TOTAL_D,70-75 dB,11.52,744.8,12.86
